epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,295.29,0.65522,1.28856,1.96559,1.15508,0.0132,1,0.56457,0.54114,0.0132,1,0.5679,0.47296,0.35461,0.93468,3.31258,0.87697,9.87035e-05,9.87035e-05,9.87035e-05
41,302.501,0.4468,1.02183,2.03726,0.9132,0.01257,1,0.58814,0.5644,0.01257,1,0.59093,0.51428,0.34401,0.81276,3.24679,0.86997,9.24352e-05,9.24352e-05,9.24352e-05
42,309.587,0.52413,0.7411,2.01386,1.06775,0.01257,1,0.58814,0.5644,0.01257,1,0.59093,0.51428,0.34401,0.81276,3.24679,0.86997,8.5727e-05,8.5727e-05,8.5727e-05
43,316.853,0.41417,0.79786,1.85653,1.01011,0.01212,1,0.5885,0.56242,0.01212,1,0.5885,0.51257,0.33492,0.72054,3.18027,0.8703,7.85788e-05,7.85788e-05,7.85788e-05
44,324.005,0.65776,0.78027,2.10602,1.29229,0.01212,1,0.5885,0.56242,0.01212,1,0.5885,0.51257,0.33492,0.72054,3.18027,0.8703,7.09907e-05,7.09907e-05,7.09907e-05
45,331.411,0.55834,0.74764,2.15195,1.21349,0.96596,0.28438,0.62031,0.601,0.96596,0.28438,0.62031,0.55498,0.33703,0.67669,3.13101,0.86169,6.29626e-05,6.29626e-05,6.29626e-05
46,338.606,0.56456,0.92133,2.15061,1.23254,0.96596,0.28438,0.62031,0.601,0.96596,0.28438,0.62031,0.55498,0.33703,0.67669,3.13101,0.86169,5.44945e-05,5.44945e-05,5.44945e-05
47,345.684,0.76556,0.76785,2.20657,1.386,0.99868,0.15,0.61612,0.59854,0.99868,0.15,0.61612,0.54871,0.35223,0.65803,3.07995,0.86451,4.55866e-05,4.55866e-05,4.55866e-05
48,352.617,0.38443,0.64184,1.76629,1.04306,0.99868,0.15,0.61612,0.59854,0.99868,0.15,0.61612,0.54871,0.35223,0.65803,3.07995,0.86451,3.62386e-05,3.62386e-05,3.62386e-05
49,359.702,0.52439,0.86713,1.99732,1.22287,1,0.1262,0.62117,0.59191,1,0.1262,0.62117,0.54654,0.35769,0.64549,3.0394,0.87011,2.64507e-05,2.64507e-05,2.64507e-05
50,366.846,0.42567,0.6524,1.95475,1.04758,1,0.1262,0.62117,0.59191,1,0.1262,0.62117,0.54654,0.35769,0.64549,3.0394,0.87011,1.62228e-05,1.62228e-05,1.62228e-05
